SMILES,with_star,no_star,num_star,ring_count,logP,TPSA,HBD,HBA
C1=NC=CN=C1[1*],C1=NC=CN=C1[1*],C1=NC=CN=C1,1,1,0.6128,24.72,0,2
C1=NC=C([1*])N=C1,C1=NC=C([1*])N=C1,C1=NC=CN=C1,1,1,0.6128,24.72,0,2
C1=NC=C([1*])N=C1[2*],C1=NC=C([1*])N=C1[2*],C1=NC=CN=C1,2,1,0.6128,24.72,0,2
C1=NC([1*])=CN=C1,C1=NC([1*])=CN=C1,C1=NC=CN=C1,1,1,0.6128,24.72,0,2
C1=NC([1*])=CN=C1[2*],C1=NC([1*])=CN=C1[2*],C1=NC=CN=C1,2,1,0.6128,24.72,0,2
C1=NC([1*])=C([2*])N=C1,C1=NC([1*])=C([2*])N=C1,C1=NC=CN=C1,2,1,0.6128,24.72,0,2
C1=NC([1*])=C([2*])N=C1[3*],C1=NC([1*])=C([2*])N=C1[3*],C1=NC=CN=C1,3,1,0.6128,24.72,0,2
[1*]C1=NC=CN=C1,[1*]C1=NC=CN=C1,C1=NC=CN=C1,1,1,0.6128,24.72,0,2
[1*]C1=NC=CN=C1[2*],[1*]C1=NC=CN=C1[2*],C1=NC=CN=C1,2,1,0.6128,24.72,0,2
[1*]C1=NC=C([2*])N=C1,[1*]C1=NC=C([2*])N=C1,C1=NC=CN=C1,2,1,0.6128,24.72,0,2
[1*]C1=NC=C([2*])N=C1[3*],[1*]C1=NC=C([2*])N=C1[3*],C1=NC=CN=C1,3,1,0.6128,24.72,0,2
[1*]C1=NC([2*])=CN=C1,[1*]C1=NC([2*])=CN=C1,C1=NC=CN=C1,2,1,0.6128,24.72,0,2
[1*]C1=NC([2*])=CN=C1[3*],[1*]C1=NC([2*])=CN=C1[3*],C1=NC=CN=C1,3,1,0.6128,24.72,0,2
[1*]C1=NC([2*])=C([3*])N=C1,[1*]C1=NC([2*])=C([3*])N=C1,C1=NC=CN=C1,3,1,0.6128,24.72,0,2
[1*]C1=NC([2*])=C([3*])N=C1[4*],[1*]C1=NC([2*])=C([3*])N=C1[4*],C1=NC=CN=C1,4,1,0.6128,24.72,0,2
C1=NN=NC=C1,C1=NN=NC=C1,C1=NN=NC=C1,0,1,0.9517,37.08,0,3
C1=NN=NC=C1[1*],C1=NN=NC=C1[1*],C1=NN=NC=C1,1,1,0.9517,37.08,0,3
C1=NN=NC([1*])=C1,C1=NN=NC([1*])=C1,C1=NN=NC=C1,1,1,0.9517,37.08,0,3
C1=NN=NC([1*])=C1[2*],C1=NN=NC([1*])=C1[2*],C1=NN=NC=C1,2,1,0.9517,37.08,0,3
[1*]C1=NN=NC=C1,[1*]C1=NN=NC=C1,C1=NN=NC=C1,1,1,0.9517,37.08,0,3
[1*]C1=NN=NC=C1[2*],[1*]C1=NN=NC=C1[2*],C1=NN=NC=C1,2,1,0.9517,37.08,0,3
[1*]C1=NN=NC([2*])=C1,[1*]C1=NN=NC([2*])=C1,C1=NN=NC=C1,2,1,0.9517,37.08,0,3
[1*]C1=NN=NC([2*])=C1[3*],[1*]C1=NN=NC([2*])=C1[3*],C1=NN=NC=C1,3,1,0.9517,37.08,0,3
C1=NC=NC=N1,C1=NC=NC=N1,C1=NC=NC=N1,0,1,0.0848999999999999,37.08,0,3
C1=NC=NC([1*])=N1,C1=NC=NC([1*])=N1,C1=NC=NC=N1,1,1,0.0848999999999999,37.08,0,3
C1=NC([1*])=NC=N1,C1=NC([1*])=NC=N1,C1=NC=NC=N1,1,1,0.0848999999999999,37.08,0,3
C1=NC([1*])=NC([2*])=N1,C1=NC([1*])=NC([2*])=N1,C1=NC=NC=N1,2,1,0.0848999999999999,37.08,0,3
[1*]C1=NC=NC=N1,[1*]C1=NC=NC=N1,C1=NC=NC=N1,1,1,0.0848999999999999,37.08,0,3
[1*]C1=NC=NC([2*])=N1,[1*]C1=NC=NC([2*])=N1,C1=NC=NC=N1,2,1,0.0848999999999999,37.08,0,3
[1*]C1=NC([2*])=NC=N1,[1*]C1=NC([2*])=NC=N1,C1=NC=NC=N1,2,1,0.0848999999999999,37.08,0,3
[1*]C1=NC([2*])=NC([3*])=N1,[1*]C1=NC([2*])=NC([3*])=N1,C1=NC=NC=N1,3,1,0.0848999999999999,37.08,0,3
C1=CCC=C1,C1=CCC=C1,C1=CCC=C1,0,1,1.5025,0.0,0,0
C1=CCC=C1[1*],C1=CCC=C1[1*],C1=CCC=C1,1,1,1.5025,0.0,0,0
C1=CCC([1*])=C1,C1=CCC([1*])=C1,C1=CCC=C1,1,1,1.5025,0.0,0,0
C1=CCC([1*])=C1[2*],C1=CCC([1*])=C1[2*],C1=CCC=C1,2,1,1.5025,0.0,0,0
